Itaxon_id	taxon_name	taxon_rank	taxon_clade	phylum	subphylum	class	subclass	order	suborder	superfamily	family	taxon_subfamily	tribe	taxon_genus	taxon_subgenus	pbdb_taxon_no	max_length	max_area	max_vol	extinct_max_length	extinct_max_area	extinct_max_vol	fad_int	lad_int	fad_age	lad_age	range_source	range_year	in_sepkoski	tiering	motility	feeding	ecospace	diet	calc_max_vol	extinct_calc_max_vol	extant	eco_ref	marine	brackish	freshwater	terrestrial
116552	Tropholampas	genus		Echinodermata		Echinoidea		Neolampadoida			Neolampadidae			Tropholampas			3.758	33.1279	90.903	3.758	33.1279	90.903	Holocene	Holocene	0.0117	0	Treatise	1966	f	3	2				25.74000023	25.74000023	t		t		f	f
165953	Mastigometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Antedoninae		Mastigometra			4.345	14.8276	37.4149	4.345	14.8276	37.4149	Holocene	Holocene	0.0117	0	Treatise	2011	f						26.21594165	26.21594165	t		t		f	f
166005	Nanometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Perometrinae		Nanometra			4.354	14.889	35.4756	4.354	14.889	35.4756	Holocene	Holocene	0.0117	0	Treatise	2011	f						26.37862044	26.37862044	t		t		f	f
165405	Pterometra	genus		Echinodermata		Crinoidea				Tropiometroidea	Asterometridae			Pterometra			4.4225			4.4225			Holocene	Holocene	0.0117	0	Treatise	1978	f						27.63885578	27.63885578	t		t		f	f
166039	Thaumatocrinus	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Pentametrocrinidae			Thaumatocrinus			4.43	9.7305	18.1419	4.43	9.7305	18.1419	Holocene	Holocene	0.0117	0	Treatise	2011	f						27.77922249	27.77922249	t		t		f	f
165960	Boleometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Bathymetrinae		Boleometra			4.4375	14.6117	40.8398	4.4375	14.6117	40.8398	Holocene	Holocene	0.0117	0	Treatise	2011	f						27.92006281	27.92006281	t		t		f	f
166035	Poliometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae			Poliometra			4.44	15.483	35.783	4.44	15.483	35.783	Holocene	Holocene	0.0117	0	Treatise	2011	f						27.96711497	27.96711497	t		t		f	f
165943	Ctenantedon	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Antedoninae		Ctenantedon			4.474	15.7211	46.5343	4.474	15.7211	46.5343	Holocene	Holocene	0.0117	0	Treatise	2011	f						28.61227278	28.61227278	t		t		f	f
48541	Comaster	genus	Ambulacralia	Echinodermata		Crinoidea		Comatulida						Comaster		32640	4.494285714	6.0104	8.3895	4.494285714	6.0104	8.3895	Aquitanian	Holocene	23.03	0	Sepkoski	2002	t	2	4	1	241		29.00187577	29.00187577	t		t		f	f
165997	Isometra	genus		Echinodermata		Crinoidea		Comatulida		Antedonoidea	Antedonidae	Isometrainae		Isometra			4.59	15.7538	45.8959	4.59	15.7538	45.8959	Holocene	Holocene	0.0117	0	Treatise	2011	f						30.88781929	30.88781929	t		t		f	f
